location,number,project,x,y
Eutaw and Lexington Market,1,Downtown,-76.621073999999993,39.290996
Eutaw and Fayette,2,Downtown,-76.623665143680341,39.29048796517317
Eutaw and Baltimore,3,Downtown,-76.620985000000005,39.289324000000001
Eutaw and Redwood,4,Downtown,-76.620947999999999,39.288677999999997
Eutaw and Lombard,5,Downtown,-76.620853999999994,39.287528000000002
Eutaw and Camden,6,Downtown,-76.620675000000006,39.285245000000003
Paca and Pratt,7,Downtown,-76.622129000000001,39.286256999999999
Greene and Lombard,8,Downtown,-76.623615999999998,39.287415000000003
Greene and Baltimore,9,Downtown,-76.623694999999998,39.289222000000002
Greene and Fayette,10,Downtown,-76.623777000000004,39.290332999999997
Greene and Lexington,11,Downtown,-76.623836999999995,39.291376999999997
Paca and Fayette,12,Downtown,-76.622411,39.290370000000003
S Howard St and W Lombard St,13,Downtown,-76.624159236676732,39.289645356378202
S Howard St and W Pratt St,14,Downtown,-76.619369000000006,39.286315000000002
S Howard St and W Camden St,15,Downtown,-76.619282999999996,39.285302000000001
S Hanover and W Pratt St,16,Downtown,-76.616191000000001,39.286451999999997
Hopkins Pl and W Lombard St,17,Downtown,-76.617692000000005,39.287667999999996
Park Ave and W Baltimore St,18,Downtown,-76.617789999999999,39.289383999999998
S Howard St and W Baltimore St,19,Downtown,-76.619479999999996,39.289386
N Howard St and W Fayette St,20,Downtown,-76.619489999999999,39.290447
N Howard St and W Lexington St,21,Downtown,-76.619664,39.291601999999997
Park Ave and W Lexington St,22,Downtown,-76.618020000000001,39.291581000000001
N Liberty St and W Lexington St,23,Downtown,-76.617084000000006,39.291670000000003
N Liberty St and W Fayette St,24,Downtown,-76.617673999999994,39.290450999999997
Park Ave and W Fayette St,25,Downtown,-76.617985000000004,39.290500999999999
N Liberty St and Clay St,26,Downtown,-76.617325843424382,39.291982411793313
Cathedral St and W Saratoga St,27,Downtown,-76.616776999999999,39.293019000000001
Cathedral St and W Mulberry St,28,Downtown,-76.616793000000001,39.294052999999998
N Charles St and E Mulberry St,29,Downtown,-76.615488999999997,39.294150999999999
Cathedral St and W Franklin St,30,Downtown,-76.616872000000001,39.295048000000001
Park Ave and W Franklin St,31,Downtown,-76.618324000000001,39.295011000000002
Park Ave and W Mulberry St,32,Downtown,-76.618223999999998,39.294016999999997
Park Ave and W Saratoga St,33,Downtown,-76.618157999999994,39.292954000000002
N Howard St and W Saratoga St,34,Downtown,-76.619658999999999,39.292895999999999
N Howard St and W Mulberry St,35,Downtown,-76.619772999999995,39.293987000000001
N Howard St and W Franklin St,36,Downtown,-76.620445568838903,39.295446379148409
N Howard St and W Centre St,37,Downtown,-76.619917000000001,39.296208999999998
N Eutaw St and George St,38,Downtown,-76.621317000000005,39.295789999999997
S Paca St and W Baltimore St,39,Downtown,-76.622330000000005,39.289278000000003
N Eutaw St and W Saratoga,40,Downtown,-76.621144999999999,39.292830000000002
N Paca St and W Saratoga St,41,Downtown,-76.622539000000003,39.292822000000001
N Paca St and W Mulberry St,42,Downtown,-76.622570999999994,39.293837000000003
N Paca St and W Lexington St,43,Downtown,-76.622440999999995,39.291428000000003
N Greene St and W Franklin St,44,Downtown,-76.623951000000005,39.294792000000001
N Greene St and W Saratoga St,45,Downtown,-76.623895000000005,39.292839999999998
N Eutaw St and W Franklin St,46,Downtown,-76.621260000000007,39.294890000000002
N Eutaw St and Druid Hill Ave,47,Downtown,-76.621270179748535,39.296695865155179
N Eutaw St and W Mulberry St,48,Downtown,-76.621199000000004,39.293914999999998
N Paca St and George St,49,Downtown,-76.622656000000006,39.295791999999999
Cathedral St and W Centre St,50,Downtown,-76.616957187699995,39.296299405500001
Center Plaza and ,51,Downtown,-76.616474390029907,39.291321673796268
Hopkins Plaza and ,52,Downtown,-76.616270542144775,39.288789080651917
Charles and Baltimore,53,Downtown,-76.615144000000001,39.289526000000002
S Charles St and E Lombard St,54,Downtown,-76.614863,39.287744000000004
Saint Paul St and E Lexington St,55,Downtown,-76.613975999999994,39.291170000000001
Light St and E Redwood St,56,Downtown,-76.613717079200001,39.288820219599998
N Calvert St and E Fayette St,57,Downtown,-76.612448000000001,39.290387000000003
S Calvert St and E Redwood St,58,Downtown,-76.612025000000003,39.288933
S Calvert St and E Lombard St,59,Downtown,-76.612134999999995,39.287824999999998
Guilford Ave and E Lexington St,60,Downtown,-76.611114000000001,39.291245000000004
South St and E Baltimore St,61,Downtown,-76.611047999999997,39.289701000000001
South St and Water St,62,Downtown,-76.610961000000003,39.288566000000003
N Holiday St and E Saratoga St,63,Downtown,-76.610354999999998,39.292495000000002
N Holiday St and E Fayette St,64,Downtown,-76.610275999999999,39.290497999999999
CommerceSt and E Lombard St,65,Downtown,-76.610116000000005,39.287849000000001
CommerceSt and E Pratt St,66,Downtown,-76.610022000000001,39.286662
Custom House Ave and ,67,Downtown,-76.609755456447601,39.289210493896313
S Gay St and E Baltimore St,68,Downtown,-76.608945000000006,39.289771999999999
S Gay St and Water St,69,Downtown,-76.608832000000007,39.288623999999999
E Saratoga St and E Lexington St,70,Downtown,-76.607829630400005,39.291377722
Market Pl and E Lombard St,71,Downtown,-76.606943999999999,39.287903999999997
Pearl St and W Lexington St,72,Downtown,-76.624647999999993,39.291325000000001
N Greene St and W Mulberry St,73,Downtown,-76.623930000000001,39.293779000000001
Druid Hill Ave and Saint Mary St,74,Downtown,-76.622871458500001,39.297505383100003
Pennsylvania Ave and Saint Mary St,75,Downtown,-76.625062823295593,39.295821990357901
N Eutaw St and W Monument St,76,Downtown,-76.621448000000001,39.297269
Saratoga and Charles,77,Downtown,-76.615414000000001,39.292327
Saint Paul St and Franklin,78,Downtown,-76.613870884137015,39.295109528266927
Charles and Fayette,79,Downtown,-76.614485357323218,39.290628181254959
E Fayette St and N Broadway,201,Broadway,-76.594116999999997,39.293968
E Fairmount Ave and N Broadway,202,Broadway,-76.594029000000006,39.292631999999998
E Baltimore St and S Broadway,203,Broadway,-76.593943999999993,39.291542
E Baltimore St and S Ann St,204,Broadway,-76.591776999999993,39.291615999999998
E Baltimore St and S Washington St,205,Broadway,-76.589201000000003,39.291747000000001
E Lombard St and S Broadway,206,Broadway,-76.593868999999998,39.290399000000001
E Lombard St and S Ann St,207,Broadway,-76.591710000000006,39.290498999999997
E Lombard St and S Durham St,208,Broadway,-76.591047000000003,39.290520000000001
E Lombard St and S Chapel St,209,Broadway,-76.589748999999998,39.290554999999998
E Lombard St and S Washington St,210,Broadway,-76.589106000000001,39.290573000000002
E Pratt St and S Broadway,211,Broadway,-76.593802999999994,39.289256999999999
E Pratt St and N Bond St,212,Broadway,-76.595711410045624,39.289139912544471
Gough St and S Broadway,213,Broadway,-76.593704000000002,39.287623000000004
GoughSt and S Regester St,214,Broadway,-76.592432000000002,39.287695999999997
Bank St and S Broadway,215,Broadway,-76.593637999999999,39.286608999999999
Bank St and S Bond St,216,Broadway,-76.595439999999996,39.286512000000002
Bank St and Caroline St,217,Broadway,-76.596843000000007,39.286467999999999
Eastern Ave and S Broadway,218,Broadway,-76.593557000000004,39.285578000000001
Eastern Ave and S Ann St,219,Broadway,-76.591406000000006,39.285685999999998
Fleet St and S Broadway,220,Broadway,-76.59356564283371,39.284603873545841
Fleet St and S Broadway St (East),221,Broadway,-76.593260000000001,39.284564000000003
Fleet St and S Ann St,222,Broadway,-76.591352999999998,39.284725999999999
Fleet St and S Caroline St,223,Broadway,-76.596723999999995,39.284424999999999
Fleet St and S Eden St,224,Broadway,-76.598245000000006,39.284345999999999
S Broadway and Aliceanna St (East),225,Broadway,-76.593184769153595,39.283534695712298
Aliceanna and Broadway (West),226,Broadway,-76.5944198688385,39.283388308477349
ThamesSt and S Broadway,227,Broadway,-76.593125000000001,39.281841
2708 Berea Rd (rear),301,Cherry Hill,-76.632866403297797,39.250638607403452
1312 Shellbanks (rear),302,Cherry Hill,-76.631438758982554,39.251197184331552
Berea Rd and Slater Rd,303,Cherry Hill,-76.633009999999999,39.250115999999998
2711 Berea Rd. (rear),304,Cherry Hill,-76.632756000000001,39.250272000000002
ShellbanksRd and Blyden Rd,305,Cherry Hill,-76.631866000000002,39.250484
1301 Slater Rd. (rear),306,Cherry Hill,-76.632949999999994,39.249631000000001
Bldg1200 (rear),307,Cherry Hill,-76.631404906511307,39.250543061206614
Fisk Rd and Slater Rd,308,Cherry Hill,-76.632199999999997,39.248756
1201 Slater Rd (rear),309,Cherry Hill,-76.631996999999998,39.249011000000003
Giles Rd and Shellbanks Rd,310,Cherry Hill,-76.630346000000003,39.249721000000001
2701 Giles Rd (rear) and Shellbanks,311,Cherry Hill,-76.629800209298963,39.249428669638661
Sethlow Rd and Slater Rd,312,Cherry Hill,-76.630831000000001,39.248398000000002
Spelman Rd and Woodview Rd,313,Cherry Hill,-76.629266000000001,39.248578999999999
Woodview Rd and Round Rd,314,Cherry Hill,-76.628517000000002,39.248612000000001
Community Center (rear),315,Cherry Hill,-76.629756689071655,39.248153355084071
Community Center (rear),316,Cherry Hill,-76.629873686328978,39.247172308883442
Spelman Rd and Claflin Ct,317,Cherry Hill,-76.628801999999993,39.247048999999997
2822 Round Rd,318,Cherry Hill,-76.627666172059293,39.246384231202612
Spelman Rd and S Denham Cir,319,Cherry Hill,-76.62829926966279,39.245922537637647
2810 Denham Cr (side),320,Cherry Hill,-76.628935317859728,39.245531977693837
2822 Denham Cr (rear),321,Cherry Hill,-76.628793776035309,39.244515154168433
2824 N Denham Cir,322,Cherry Hill,-76.628546999999998,39.244607999999999
