STATENAME,URL,WEBSITE,ACTIVITY_LEVEL,ACTIVITY_LEVEL_LABEL,WEEKENDING,WEEK 
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-04-2011,44
Alaska,http://www.epi.hss.state.ak.us/id/influenza/influenza.jsp,Influenza Surveillance Report,Level 1,Minimal,Nov-04-2011,44
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 1,Minimal,Nov-04-2011,44
Arkansas,http://www.healthy.arkansas.gov/programsServices/infectiousDisease/communicableDiseaseImmunizations/Pages/default.aspx,Communicable Disease and Immunizations,Level 1,Minimal,Nov-04-2011,44
California,http://www.cdph.ca.gov/HealthInfo/discond/Pages/Influenza(Flu).aspx,Influenza (Flu),Level 1,Minimal,Nov-04-2011,44
Colorado,http://www.cdphe.state.co.us/dc/Influenza/,Influenza Surveillance,Level 1,Minimal,Nov-04-2011,44
Connecticut,http://www.ct.gov/dph/cwp/view.asp?a=3136&q=410788,Flu Statistics,Level 1,Minimal,Nov-04-2011,44
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 1,Minimal,Nov-04-2011,44
District of Columbia,http://dchealth.dc.gov/doh/cwp/view%2ca%2c1370%2cq%2c601380%2cdohNav_GID%2c1787%2cdohNav%2c%7C33139%7C%2c.asp,Influenza Information,Level 0,Insufficient Data,Nov-04-2011,44
Florida,http://www.doh.state.fl.us/Disease_ctrl/epi/htopics/flu/2011/index.html,Weekly Influenza Surveillance Reports,Level 1,Minimal,Nov-04-2011,44
Georgia,http://health.state.ga.us/epi/flu/fluupd09.asp,Weekly Influenza Surveillance in Georgia,Level 1,Minimal,Nov-04-2011,44
Hawaii,http://hawaii.gov/health/flu-hawaii-gov/surveillance.html,Hawaii's Influenza Surveillance Program,Level 1,Minimal,Nov-04-2011,44
Idaho,http://www.healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 4,Low,Nov-04-2011,44
Illinois,http://www.idph.state.il.us/flu/surveillance.htm,Seasonal Influenza Surveillance Reports,Level 1,Minimal,Nov-04-2011,44
Indiana,http://www.in.gov/isdh/22104.htm,Influenza in Indiana,Level 2,Minimal,Nov-04-2011,44
Iowa,http://www.idph.state.ia.us/adper/iisn.asp,Iowa Influenza Surveillance Network,Level 1,Minimal,Nov-04-2011,44
Kansas,http://www.kdheks.gov/flu/index.html,Influenza Information,Level 1,Minimal,Nov-04-2011,44
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,Influenza - Flu,Level 1,Minimal,Nov-04-2011,44
Louisiana,http://www.dhh.louisiana.gov/offices/page.asp?id=249&detail=7358,Influenza,Level 2,Minimal,Nov-04-2011,44
Maine,http://www.maine.gov/dhhs/boh/influenza_surveillance_weekly_updates.shtml,Weekly Surveillance Updates,Level 1,Minimal,Nov-04-2011,44
Maryland,http://dhmh.maryland.gov/fluwatch/,Influenza Surveillance,Level 2,Minimal,Nov-04-2011,44
Massachusetts,http://www.mass.gov/?pageID=eohhs2terminal&L=6&L0=Home&L1=Provider&L2=Guidelines+and+Resources&L3=Guidelines+for+Services+%26+Planning&L4=Diseases+and+Conditions&L5=Influenza&sid=Eeohhs2&b=terminalcontent&f=dph_cdc_p_flu_surveillance_data&csid=Eeohhs2,Influenza Surveillance Data,Level 1,Minimal,Nov-04-2011,44
Michigan,http://www.michigan.gov/mdch/0%2c1607%2c7-132-2940_2955_22779_40563_48357-191722--%2c00.html,Influenza Activity and Surveillance,Level 1,Minimal,Nov-04-2011,44
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,Weekly Influenza Activity: Statistics,Level 3,Minimal,Nov-04-2011,44
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%2c0%2c199%2c230.html,Mississippi Flu Surveillance and Influenza-Like Illness Reports,Level 1,Minimal,Nov-04-2011,44
